id,name,code,icao,city,country_id/id,provider_type_id/id,latitude,longitude,altitude,timezone_hour,tz,active
tt_destinations_1,Juanda International Airport,SUB,WARR,Surabaya,base.id,tt_base.tt_provider_type_1,-7.379831,112.786858,9,7,Asia/Jakarta,1
tt_destinations_2,Naha,NAH,WAMH,Naha,base.id,tt_base.tt_provider_type_1,3.683214,125.528019,16,8,Asia/Makassar,1
tt_destinations_3,Hasanuddin,UPG,WAAA,Ujung Pandang,base.id,tt_base.tt_provider_type_1,-5.061631,119.554042,47,8,Asia/Makassar,1
tt_destinations_4,Frans Kaisiepo,BIK,WABB,Biak,base.id,tt_base.tt_provider_type_1,-1.190017,136.107997,46,9,Asia/Jayapura,1
tt_destinations_5,Nabire,NBX,WABI,Nabire,base.id,tt_base.tt_provider_type_1,-3.368183,135.496406,20,9,Asia/Jayapura,1
tt_destinations_6,Moses Kilangin,TIM,WABP,Timika,base.id,tt_base.tt_provider_type_1,-4.528275,136.887375,103,9,Asia/Jayapura,1
tt_destinations_7,Sentani,DJJ,WAJJ,Jayapura,base.id,tt_base.tt_provider_type_1,-2.576953,140.516372,289,9,Asia/Jayapura,1
tt_destinations_8,Wamena,WMX,WAJW,Wamena,base.id,tt_base.tt_provider_type_1,-4.102511,138.957372,5085,9,Asia/Jayapura,1
tt_destinations_9,Mopah,MKQ,WAKK,Merauke,base.id,tt_base.tt_provider_type_1,-8.520294,140.418453,10,9,Asia/Jayapura,1
tt_destinations_10,Jalaluddin,GTO,WAMG,Gorontalo,base.id,tt_base.tt_provider_type_1,0.637119,122.849858,105,8,Asia/Makassar,1
tt_destinations_11,Mutiara,PLW,WAML,Palu,base.id,tt_base.tt_provider_type_1,-0.918542,119.909642,284,8,Asia/Makassar,1
tt_destinations_12,Sam Ratulangi,MDC,WAMM,Manado,base.id,tt_base.tt_provider_type_1,1.549447,124.925878,264,8,Asia/Makassar,1
tt_destinations_13,Kasiguncu,PSJ,WAMP,Poso,base.id,tt_base.tt_provider_type_1,-1.416753,120.657669,174,8,Asia/Makassar,1
tt_destinations_14,Pitu,OTI,WAMR,Morotai Island,base.id,tt_base.tt_provider_type_1,2.045992,128.324708,49,9,Asia/Jayapura,1
