id,country_id/id,name
state_XK_Mal_1,base.xk,Malishevë
state_XK_Pri_2,base.xk,Prizren
state_XK_Zub_3,base.xk,Zubin Potok
state_XK_Kam_4,base.xk,Kamenicë
state_XK_Vit_5,base.xk,Viti
state_XK_Sht_6,base.xk,Shtërpcë
state_XK_Sht_7,base.xk,Shtime
state_XK_Vus_8,base.xk,Vushtrri
state_XK_Dra_9,base.xk,Dragash
state_XK_Pod_10,base.xk,Podujevë
state_XK_Fus_11,base.xk,Fushë Kosovë
state_XK_Kaç_12,base.xk,Kaçanik
state_XK_Kli_13,base.xk,Klinë
state_XK_Lep_14,base.xk,Leposaviq
state_XK_Pej_15,base.xk,Pejë
state_XK_Rah_16,base.xk,Rahovec
state_XK_Gji_17,base.xk,Gjilan
state_XK_Lip_18,base.xk,Lipjan
state_XK_Obi_19,base.xk,Obiliq
state_XK_Gja_20,base.xk,Gjakovë
state_XK_Pri_21,base.xk,Prishtinë
state_XK_Deç_22,base.xk,Deçan
state_XK_Ist_23,base.xk,Istog
state_XK_Han_24,base.xk,Hani i Elezit
state_XK_Jun_25,base.xk,Junik
state_XK_Kll_26,base.xk,Kllokot
state_XK_Mam_27,base.xk,Mamushë
state_XK_Par_28,base.xk,Partesh
state_XK_Ran_29,base.xk,Ranillug
state_XK_Fer_30,base.xk,Ferizaj
state_XK_Zve_31,base.xk,Zveçan
state_XK_Suh_32,base.xk,Suharekë
state_XK_Gll_33,base.xk,Gllogovc
state_XK_Ske_34,base.xk,Skenderaj 
state_XK_Nov_35,base.xk,Novobërdë
state_XK_Gra_36,base.xk,Graçanicë
state_YE_Amā_1,base.ye,Amānat al ‘Āşimah
state_YE_Ma’_2,base.ye,Ma’rib
state_YE_Ray_3,base.ye,Raymah
state_YE_Ḩaj_4,base.ye,Ḩajjah
state_YE_Ibb_5,base.ye,Ibb
state_YE_Al _6,base.ye,Al Ḩudaydah
state_YE_Laḩ_7,base.ye,Laḩij
state_YE_Al _8,base.ye,Al Maḩwīt
state_YE_Ta‘_9,base.ye,Ta‘izz
state_YE_Şa‘_10,base.ye,Şa‘dah
state_YE_Dha_11,base.ye,Dhamār
state_YE_‘Am_12,base.ye,‘Amrān
state_YE_Aḑ_13,base.ye,Aḑ Ḑāli‘
state_YE_Ḩaḑ_14,base.ye,Ḩaḑramawt
state_YE_Al _15,base.ye,Al Bayḑā’
state_YE_Aby_16,base.ye,Abyan
state_YE_Sha_17,base.ye,Shabwah
state_YE_Al _18,base.ye,Al Mahrah
state_YE_Al _19,base.ye,Al Jawf
state_YE_‘Ad_20,base.ye,‘Adan
state_YE_Ark_21,base.ye,Arkhabīl Suquţrá
base.state_za_lp,base.za,Limpopo
base.state_za_nw,base.za,North West
base.state_za_ec,base.za,Eastern Cape
base.state_za_fs,base.za,Free State
base.state_za_nl,base.za,KwaZulu-Natal
base.state_za_gt,base.za,Gauteng
base.state_za_nc,base.za,Northern Cape
base.state_za_wc,base.za,Western Cape
base.state_za_mp,base.za,Mpumalanga
state_ZM_Nor_1,base.zm,North-Western
state_ZM_Lus_2,base.zm,Lusaka
state_ZM_Wes_3,base.zm,Western
state_ZM_Eas_4,base.zm,Eastern
state_ZM_Cop_5,base.zm,Copperbelt
state_ZM_Lua_6,base.zm,Luapula
state_ZM_Sou_7,base.zm,Southern
state_ZM_Cen_8,base.zm,Central
state_ZM_Nor_9,base.zm,Northern
state_ZM_Muc_10,base.zm,Muchinga
state_ZW_Mas_1,base.zw,Mashonaland Central
state_ZW_Mas_2,base.zw,Masvingo
state_ZW_Har_3,base.zw,Harare
state_ZW_Mid_4,base.zw,Midlands
state_ZW_Mas_5,base.zw,Mashonaland West
state_ZW_Mat_6,base.zw,Matabeleland North
state_ZW_Mas_7,base.zw,Mashonaland East
state_ZW_Man_8,base.zw,Manicaland
state_ZW_Bul_9,base.zw,Bulawayo
state_ZW_Mat_10,base.zw,Matabeleland South
state_KZ_Aty_1,base.kz,Atyraū
state_KZ_Man_2,base.kz,Mangghystaū
state_KZ_Zha_3,base.kz,Zhambyl
state_KZ_Bat_4,base.kz,Batys Qazaqstan
state_KZ_Qar_5,base.kz,Qaraghandy
state_KZ_Shy_6,base.kz,Shyghys Qazaqstan
state_KZ_Aqm_7,base.kz,Aqmola
state_KZ_Qos_8,base.kz,Qostanay
state_KZ_Aqt_9,base.kz,Aqtöbe
state_KZ_Alm_10,base.kz,Almaty
state_KZ_Qyz_11,base.kz,Qyzylorda
state_KZ_Pav_12,base.kz,Pavlodar
state_KZ_Sol_13,base.kz,Soltüstik Qazaqstan
state_KZ_Ong_14,base.kz,Ongtüstik Qazaqstan
state_KZ_Ast_15,base.kz,Astana
state_LA_Xia_1,base.la,Xiangkhouang
state_LA_Via_2,base.la,Viangchan
state_LA_Bok_3,base.la,Bokèo
state_LA_Lou_4,base.la,Louangnamtha
state_LA_Phô_5,base.la,Phôngsali
state_LA_Kha_6,base.la,Khammouan
state_LA_Bol_7,base.la,Bolikhamxai
state_LA_Lou_8,base.la,Louangphabang
state_LA_Xai_9,base.la,Xaignabouli
state_LA_Sav_10,base.la,Savannakhét
state_LA_Xék_11,base.la,Xékong
state_LA_Cha_12,base.la,Champasak
state_LA_Att_13,base.la,Attapu
state_LA_Hou_14,base.la,Houaphan
state_LA_Oud_15,base.la,Oudômxai
