id,name,country_id/id,city_id/id,state_id/id
rdx_alias_1,Antigua & Barbuda,base.ag,,
rdx_alias_2,Barbuda & Antigua,base.ag,,
rdx_alias_3,"Antigua &amp, Barbuda",base.ag,,
rdx_alias_4,Bonaire,base.bq,,
rdx_alias_5,Bosnia - Herzegovina,base.ba,,
rdx_alias_6,Brunei,base.bn,,
rdx_alias_7,Curacao,base.cw,,
rdx_alias_8,Czechia,base.cz,,
rdx_alias_9,Ivory Coast,base.ci,,
rdx_alias_10,cote d ivoire,base.ci,,
rdx_alias_11,Vatican City,base.va,,
rdx_alias_12,Vatican,base.va,,
rdx_alias_13,Macedonia,base.mk,,
rdx_alias_14,Micronesia,base.fm,,
rdx_alias_15,Burma,base.mm,,
rdx_alias_16,Pitcairn,base.pn,,
rdx_alias_17,Russia,base.ru,,
rdx_alias_18,Reunion,base.re,,
rdx_alias_19,Saint Bartelemey,base.bl,,
rdx_alias_20,Saint Helena,base.sh,,
rdx_alias_21,Saint Martin,base.mf,,
rdx_alias_22,Sint Maarten,base.sx,,
rdx_alias_23,Saint Maarten,base.sx,,
rdx_alias_24,USA,base.us,,
rdx_alias_25,United States of America,base.us,,
rdx_alias_26,America,base.us,,
rdx_alias_27,Virgin Islands British,base.vg,,
rdx_alias_28,Virgin Islands U.S.,base.vi,,
rdx_alias_29,Virgin Islands USA,base.vi,,
rdx_alias_30,Aland Islands,base.ax,,
rdx_alias_31,aland islands,base.ax,,
rdx_alias_32,Surakarta,,rdx_city_IDN_2,
rdx_alias_33,Tebing tinggi,,rdx_city_IDN_11,
rdx_alias_34,Makasar,,rdx_city_IDN_90,
rdx_alias_35,Bali,,rdx_city_IDN_36,
rdx_alias_36,Pematang Siantar,,rdx_city_IDN_24,
rdx_alias_37,Tanjung Pandan,,rdx_city_IDN_48,
rdx_alias_38,Ujung Pandang,,rdx_city_IDN_90,
rdx_alias_39,Pangkal Pinang,,rdx_city_IDN_96,
rdx_alias_40,‘Ajmān,,rdx_city_ARE_6,
rdx_alias_41,‘Amrān,,rdx_city_YEM_12,
rdx_alias_42,Abaí,,rdx_city_PRY_11,
rdx_alias_43,Abéché,,rdx_city_TCD_24,
rdx_alias_44,Aḑ Ḑāli‘,,rdx_city_YEM_13,
rdx_alias_45,Ad Damazīn,,rdx_city_SDN_23,
rdx_alias_46,Adapazarı,,rdx_city_TUR_51,
rdx_alias_47,Ādaži,,rdx_city_LVA_13,
rdx_alias_48,Adıyaman,,rdx_city_TUR_11,
rdx_alias_49,Ağrı,,rdx_city_TUR_74,
rdx_alias_50,Ahuachapán,,rdx_city_SLV_4,
rdx_alias_51,Aiguá,,rdx_city_URY_12,
rdx_alias_52,Ajdovščina,,rdx_city_SVN_29,
rdx_alias_53,Akmenė,,rdx_city_LTU_52,
rdx_alias_54,Aknīste,,rdx_city_LVA_54,
rdx_alias_55,Al ‘Azīzīyah,,rdx_city_LBY_2,
rdx_alias_56,Al Bāḩah,,rdx_city_SAU_10,
rdx_alias_57,Al Buraymī,,rdx_city_OMN_13,
rdx_alias_58,Al Ḩazm,,rdx_city_YEM_22,
rdx_alias_59,Al Jabīn,,rdx_city_YEM_3,
rdx_alias_60,Al Maḩwīt,,rdx_city_YEM_8,
rdx_alias_61,Ålesund,,rdx_city_NOR_20,
rdx_alias_62,Alūksne,,rdx_city_LVA_41,
rdx_alias_63,Añatuya,,rdx_city_ARG_109,
rdx_alias_64,Änew,,rdx_city_TKM_14,
rdx_alias_65,Angra do Heroísmo,,rdx_city_PRT_5,
rdx_alias_66,Anykščiai,,rdx_city_LTU_22,
rdx_alias_67,Apače,,rdx_city_SVN_208,
rdx_alias_68,Apatzingán,,rdx_city_MEX_51,
rdx_alias_69,Ar Rayyān,,rdx_city_QAT_6,
rdx_alias_70,Ar Rustāq,,rdx_city_OMN_3,
rdx_alias_71,Aračinovo,,rdx_city_MKD_13,
rdx_alias_72,Aranđelovac,,rdx_city_SRB_2,
rdx_alias_73,Areguá,,rdx_city_PRY_12,
rdx_alias_74,Ascensión,,rdx_city_MEX_155,
rdx_alias_75,Ash Shīḩānīyah,,rdx_city_QAT_8,
rdx_alias_76,Asunción,,rdx_city_PRY_29,
rdx_alias_77,Atakpamé,,rdx_city_TGO_3,
rdx_alias_78,Awbārī,,rdx_city_LBY_34,
rdx_alias_79,Aydın,,rdx_city_TUR_18,
rdx_alias_80,Az̧ Z̧a‘āyin,,rdx_city_QAT_1,
rdx_alias_81,Bà Rịa,,rdx_city_VNM_73,
rdx_alias_82,Babušnica,,rdx_city_SRB_134,
rdx_alias_83,Bač,,rdx_city_SRB_111,
rdx_alias_84,Bắc Giang,,rdx_city_VNM_9,
rdx_alias_85,Bắc Kạn,,rdx_city_VNM_13,
rdx_alias_86,Bạc Liêu,,rdx_city_VNM_72,
rdx_alias_87,Bắc Ninh,,rdx_city_VNM_10,
rdx_alias_88,Bacău,,rdx_city_ROU_21,
rdx_alias_89,Bačka Palanka,,rdx_city_SRB_112,
rdx_alias_90,Bačka Topola,,rdx_city_SRB_113,
rdx_alias_91,Bački Petrovac,,rdx_city_SRB_114,
rdx_alias_92,Bærum,,rdx_city_NOR_6,
rdx_alias_93,Bafoulabé,,rdx_city_MLI_26,
rdx_alias_94,Bahía Blanca,,rdx_city_ARG_151,
rdx_alias_95,Bajina Bašta,,rdx_city_SRB_109,
rdx_alias_96,Balancán,,rdx_city_MEX_98,
rdx_alias_97,Balıkesir,,rdx_city_TUR_46,
rdx_alias_98,Bălți,,rdx_city_MDA_21,
rdx_alias_99,Banská Bystrica,,rdx_city_SVK_8,
rdx_alias_100,Bardaï,,rdx_city_TCD_19,
rdx_alias_101,Bartın,,rdx_city_TUR_47,
rdx_alias_102,Batočina,,rdx_city_SRB_110,
rdx_alias_103,Bāzārak,,rdx_city_AFG_29,
rdx_alias_104,Bečej,,rdx_city_SRB_116,
rdx_alias_105,Béja,,rdx_city_TUN_14,
rdx_alias_106,Belčišta,,rdx_city_MKD_18,
rdx_alias_107,Belén,,rdx_city_PRY_9,
rdx_alias_108,Bella Unión,,rdx_city_URY_30,
rdx_alias_109,Béni Mellal,,rdx_city_MAR_6,
rdx_alias_110,Beočin,,rdx_city_SRB_145,
rdx_alias_111,Białystok,,rdx_city_POL_4,
rdx_alias_112,Biên Hòa,,rdx_city_VNM_47,
rdx_alias_113,Bingöl,,rdx_city_TUR_5,
rdx_alias_114,Birštonas,,rdx_city_LTU_30,
rdx_alias_115,Biržai,,rdx_city_LTU_21,
rdx_alias_116,Birżebbuġa,,rdx_city_MLT_1,
rdx_alias_117,Bistrița,,rdx_city_ROU_38,
rdx_alias_118,Bodø,,rdx_city_NOR_17,
rdx_alias_119,Bogatić,,rdx_city_SRB_117,
rdx_alias_120,Bollnäs,,rdx_city_SWE_25,
rdx_alias_121,Borås,,rdx_city_SWE_31,
rdx_alias_122,Borlänge,,rdx_city_SWE_33,
rdx_alias_123,Botoșani,,rdx_city_ROU_15,
rdx_alias_124,Bragança,,rdx_city_PRT_15,
rdx_alias_125,Brăila,,rdx_city_ROU_2,
rdx_alias_126,Braslovče,,rdx_city_SVN_42,
rdx_alias_127,Brașov,,rdx_city_ROU_24,
rdx_alias_128,Brežice,,rdx_city_SVN_43,
rdx_alias_129,Brocēni,,rdx_city_LVA_43,
rdx_alias_130,Buzău,,rdx_city_ROU_17,
rdx_alias_131,Cà Mau,,rdx_city_VNM_53,
rdx_alias_132,Caacupé,,rdx_city_PRY_15,
rdx_alias_133,Caazapá,,rdx_city_PRY_13,
rdx_alias_134,Čačak,,rdx_city_SRB_122,
rdx_alias_135,Čajetina,,rdx_city_SRB_143,
rdx_alias_136,Călăraşi,,rdx_city_MDA_33,
rdx_alias_137,Călărași,,rdx_city_ROU_6,
rdx_alias_138,Cẩm Phả,,rdx_city_VNM_23,
rdx_alias_139,Camaná,,rdx_city_PER_61,
rdx_alias_140,Çanakkale,,rdx_city_TUR_83,
rdx_alias_141,Cancún,,rdx_city_MEX_143,
rdx_alias_142,Çankırı,,rdx_city_TUR_44,
rdx_alias_143,Cao Bằng,,rdx_city_VNM_71,
rdx_alias_144,Cao Lãnh,,rdx_city_VNM_35,
rdx_alias_145,Carhué,,rdx_city_ARG_145,
rdx_alias_146,Carúpano,,rdx_city_VEN_51,
rdx_alias_147,Čaška,,rdx_city_MKD_46,
rdx_alias_148,Căuşeni,,rdx_city_MDA_3,
rdx_alias_149,Centar Župa,,rdx_city_MKD_50,
rdx_alias_150,Češinovo,,rdx_city_MKD_62,
rdx_alias_151,Cēsis,,rdx_city_LVA_61,
rdx_alias_152,Champotón,,rdx_city_MEX_145,
rdx_alias_153,Chascomús,,rdx_city_ARG_111,
rdx_alias_154,Châu Đốc,,rdx_city_VNM_25,
rdx_alias_155,Chersky,,rdx_city_RUS_463,
rdx_alias_156,Chișinău,,rdx_city_MDA_26,
rdx_alias_157,Chitré,,rdx_city_PAN_13,
rdx_alias_158,Ćićevac,,rdx_city_SRB_30,
rdx_alias_159,Cimişlia,,rdx_city_MDA_12,
rdx_alias_160,City of Parañaque,,rdx_city_PHL_17,
rdx_alias_161,Ciudad Bolívar,,rdx_city_VEN_8,
rdx_alias_162,Ciudad Constitución,,rdx_city_MEX_28,
rdx_alias_163,Ciudad Juárez,,rdx_city_MEX_156,
rdx_alias_164,Čoka,,rdx_city_SRB_121,
rdx_alias_165,Colón,,rdx_city_PAN_4,
rdx_alias_166,Concepción,,rdx_city_PRY_14,
rdx_alias_167,Concepción del Uruguay,,rdx_city_ARG_104,
