id,name,code,country_id/id
google_state_AD-02,Canillo,AD-02,base.ad
google_state_AD-03,Encamp,AD-03,base.ad
google_state_AD-04,La Massana,AD-04,base.ad
google_state_AD-05,Ordino,AD-05,base.ad
google_state_AD-06,Sant Julia de Loria,AD-06,base.ad
google_state_AD-07,Andorra la Vella,AD-07,base.ad
google_state_AD-08,Escaldes-Engordany,AD-08,base.ad
google_state_AE-01,Abu Dhabi,AE-01,base.ae
google_state_AE-02,Ajman,AE-02,base.ae
google_state_AE-03,Dubai,AE-03,base.ae
google_state_AE-04,Fujairah,AE-04,base.ae
google_state_AE-05,Ras Al Khaimah,AE-05,base.ae
google_state_AE-06,Sharjah,AE-06,base.ae
google_state_AE-07,Umm Al Quwain,AE-07,base.ae
google_state_AF-01,Badakhshan,AF-01,base.af
google_state_AF-02,Badghis,AF-02,base.af
google_state_AF-03,Baghlan,AF-03,base.af
google_state_AF-05,Bamian,AF-05,base.af
google_state_AF-06,Farah,AF-06,base.af
google_state_AF-07,Faryab,AF-07,base.af
google_state_AF-08,Ghazni,AF-08,base.af
google_state_AF-09,Ghowr,AF-09,base.af
google_state_AF-10,Helmand,AF-10,base.af
google_state_AF-11,Herat,AF-11,base.af
google_state_AF-13,Kabol,AF-13,base.af
google_state_AF-14,Kapisa,AF-14,base.af
google_state_AF-15,Konar,AF-15,base.af
google_state_AF-16,Laghman,AF-16,base.af
google_state_AF-17,Lowgar,AF-17,base.af
google_state_AF-18,Nangarhar,AF-18,base.af
google_state_AF-19,Nimruz,AF-19,base.af
google_state_AF-20,Oruzgan,AF-20,base.af
google_state_AF-21,Paktia,AF-21,base.af
google_state_AF-22,Parvan,AF-22,base.af
google_state_AF-23,Kandahar,AF-23,base.af
google_state_AF-24,Kondoz,AF-24,base.af
google_state_AF-26,Takhar,AF-26,base.af
google_state_AF-27,Vardak,AF-27,base.af
google_state_AF-28,Zabol,AF-28,base.af
google_state_AF-29,Paktika,AF-29,base.af
google_state_AF-30,Balkh,AF-30,base.af
google_state_AF-31,Jowzjan,AF-31,base.af
google_state_AF-32,Samangan,AF-32,base.af
google_state_AF-33,Sar-e Pol,AF-33,base.af
google_state_AF-37,Khowst,AF-37,base.af
google_state_AF-38,Nurestan,AF-38,base.af
google_state_AG-01,Barbuda,AG-01,base.ag
google_state_AG-03,Saint George,AG-03,base.ag
