id,name,code,provider_id/id,city_id/id,,
hotel_provider_code_quantum_1,Andorra; AD,AD~577,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AND_4,tt_city_code.rdx_city_AND_4,tt_city_code.rdx_city_AND_4
hotel_provider_code_quantum_2,Soldeu; AD,AD~1,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_3,Encamp; AD,AD~2,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AND_5,tt_city_code.rdx_city_AND_5,tt_city_code.rdx_city_AND_5
hotel_provider_code_quantum_4,Canillo; AD,AD~3,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AND_3,tt_city_code.rdx_city_AND_3,tt_city_code.rdx_city_AND_3
hotel_provider_code_quantum_5,La Massana; AD,AD~4,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AND_2,tt_city_code.rdx_city_AND_2,tt_city_code.rdx_city_AND_2
hotel_provider_code_quantum_6,Ordino; AD,AD~5,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AND_1,tt_city_code.rdx_city_AND_1,tt_city_code.rdx_city_AND_1
hotel_provider_code_quantum_7,Arinsal; AD,AD~6,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_8,Ransol; AD,AD~7,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_9,Pas de la Casa; AD,AD~8,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_10,Escaldes; AD,AD~9,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_11,El Tarter; AD,AD~10,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_12,Grau Roig; AD,AD~11,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_13,Sant Julia; AD,AD~12,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_14,Fujairah; AE,AE~870,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_15,Umm Al Quwain; AE,AE~1682,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_16,Abu Dhabi; AE,AE~884,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_ARE_5,tt_city_code.rdx_city_ARE_5,tt_city_code.rdx_city_ARE_5
hotel_provider_code_quantum_17,Al Ain; AE,AE~866,tt_reservation_hotel.tt_hotel_provider_quantum,__export__.res_city_687_d4d02ae7,__export__.res_city_687_d4d02ae7,__export__.res_city_687_d4d02ae7
hotel_provider_code_quantum_18,Sharjah; AE,AE~867,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_ARE_7,tt_city_code.rdx_city_ARE_7,tt_city_code.rdx_city_ARE_7
hotel_provider_code_quantum_19,Ras Al Khaimah; AE,AE~869,tt_reservation_hotel.tt_hotel_provider_quantum,__export__.res_city_689_30de13d1,__export__.res_city_689_30de13d1,__export__.res_city_689_30de13d1
hotel_provider_code_quantum_20,Ajman; AE,AE~868,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_21,Dubai; AE,AE~864,tt_reservation_hotel.tt_hotel_provider_quantum,__export__.res_city_506_0f366ebd,__export__.res_city_506_0f366ebd,__export__.res_city_506_0f366ebd
hotel_provider_code_quantum_22,West Fargo (ND); AE,AE~1683,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_23,Nuneaton; AE,AE~1684,tt_reservation_hotel.tt_hotel_provider_quantum,,,
