"id","name","type","is_international_flight","city","country_id/id","code","icao","latitude","longitude","altitude","timezone_hour","daylight_saving_times","tz"
"tt_airport_2129","Abu Dhabi Intl","airport","TRUE","Abu Dhabi","base.ae","AUH","OMAA",24.432972,54.651138,88,4,"U","Asia/Dubai"
"tt_airport_2130","Bateen","airport","TRUE","Abu Dhabi","base.ae","AZI","OMAD",24.428333,54.458084,16,4,"U","Asia/Dubai"
"tt_airport_2131","Al Hamra Aux","airport","TRUE","Al Hamra","base.ae",,"OMAH",24.073981,52.463644,50,4,"U","Asia/Dubai"
"tt_airport_2132","Jebel Dhana","airport","TRUE","Jebel Dhana","base.ae",,"OMAJ",24.187428,52.614,43,4,"U","Asia/Dubai"
"tt_airport_2134","Al Dhafra","airport","TRUE","Abu Dhabi","base.ae",,"OMAM",24.248249,54.547722,77,4,"U","Asia/Dubai"
"tt_airport_2135","Arzanah","airport","TRUE","Arzana","base.ae",,"OMAR",24.780528,52.559944,15,4,"U","Asia/Dubai"
"tt_airport_2136","Das Island","airport","TRUE","Das Island","base.ae",,"OMAS",25.146219,52.873711,12,4,"U","Asia/Dubai"
"tt_airport_2137","Zirku","airport","TRUE","Zirku","base.ae",,"OMAZ",24.861542,53.077833,14,4,"U","Asia/Dubai"
"tt_airport_2138","Dubai Intl","airport","TRUE","Dubai","base.ae","DXB","OMDB",25.252778,55.364444,62,4,"U","Asia/Dubai"
"tt_airport_2139","Fujairah Intl","airport","TRUE","Fujeirah","base.ae","FJR","OMFJ",25.112225,56.323964,152,4,"U","Asia/Dubai"
"tt_airport_2140","Ras Al Khaimah Intl","airport","TRUE","Ras Al Khaimah","base.ae","RKT","OMRK",25.613483,55.938817,102,4,"U","Asia/Dubai"
"tt_airport_2141","Sharjah Intl","airport","TRUE","Sharjah","base.ae","SHJ","OMSJ",25.328575,55.51715,111,4,"U","Asia/Dubai"
"tt_airport_4386","Al Ain International Airport","airport","TRUE","Al Ain","base.ae","AAN","OMAL",24.261667,55.609167,869,4,"U","Asia/Dubai"
"tt_airport_6311","Jebel Ali Seaplane Base","airport","TRUE","Jebel Ali Golf Resort","base.ae",,,24.988951,55.023624,0,4,"U","Asia/Dubai"
"tt_airport_6429","Minhad HB","airport","TRUE","Minhad AB","base.ae","NHD","OMDM",25.02694,55.36611,165,4,"U","Asia/Dubai"
"tt_airport_6650","Dubai Al Maktoum","airport","TRUE","Dubai","base.ae","DWC","OMDW",24.55056,55.103174,170,4,"U","Asia/Dubai"
"tt_airport_7432","Dubai Cruise Terminal","airport","TRUE","Dubai","base.ae",,,25.274193,55.28311,0,4,"U","Asia/Dubai"
"tt_airport_7528","Sir Bani Yas Island","airport","TRUE","Sir Bani Yas Island","base.ae","XSB",,24.2856083,52.5783472,5,4,"U","Asia/Dubai"
"tt_airport_7529","Dalma Airport","airport","TRUE","Dalma Island","base.ae","ZDY",,24.5033833,52.3360528,8,4,"U","Asia/Dubai"
"tt_airport_2008","Herat","airport","TRUE","Herat","base.af","HEA","OAHR",34.210017,62.2283,3206,4.5,"U","Asia/Kabul"
"tt_airport_2009","Jalalabad","airport","TRUE","Jalalabad","base.af","JAA","OAJL",34.399842,70.498625,1814,4.5,"U","Asia/Kabul"
"tt_airport_2010","Kabul Intl","airport","TRUE","Kabul","base.af","KBL","OAKB",34.565853,69.212328,5877,4.5,"U","Asia/Kabul"
"tt_airport_2011","Kandahar","airport","TRUE","Kandahar","base.af","KDH","OAKN",31.505756,65.847822,3337,4.5,"U","Asia/Kabul"
"tt_airport_2012","Maimana","airport","TRUE","Maimama","base.af","MMZ","OAMN",35.930789,64.760917,2743,4.5,"U","Asia/Kabul"
"tt_airport_2013","Mazar I Sharif","airport","TRUE","Mazar-i-sharif","base.af","MZR","OAMS",36.706914,67.209678,1284,4.5,"U","Asia/Kabul"
