id,name,code,sequence,value,ssr_id/id,active
tt_ssr_list_line_id_1,Baggage 5 Kg,BAG5,1,5,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_2,Baggage 10 Kg,BAG10,2,10,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_3,Baggage 15 Kg,BAG15,3,15,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_4,Baggage 20 Kg,BAG20,4,20,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_5,Baggage 25 Kg,BAG25,5,25,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_6,Baggage 30 Kg,BAG30,6,30,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_7,Baggage 35 Kg,BAG35,7,35,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_8,Baggage 40 Kg,BAG40,8,40,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_9,Baggage 45 Kg,BAG45,9,45,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_10,Baggage 50 Kg,BAG50,10,50,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_11,Baggage 55 Kg,BAG55,11,55,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_12,Baggage 60 Kg,BAG60,12,60,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_13,Baggage 65 Kg,BAG65,13,65,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_14,Baggage 70 Kg,BAG70,14,70,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_15,Baggage 75 Kg,BAG75,15,75,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_16,Baggage 80 Kg,BAG80,16,80,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_17,Baggage 85 Kg,BAG85,17,85,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_18,Baggage 90 Kg,BAG90,18,90,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_19,Baggage 95 Kg,BAG95,19,95,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_20,Baggage 100 Kg,BAG100,20,100,tt_reservation_airline.tt_ssr_list_id_1102,1
tt_ssr_list_line_id_21,Baggage 5 Kg,BAG5,1,5,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_22,Baggage 10 Kg,BAG10,2,10,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_23,Baggage 15 Kg,BAG15,3,15,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_24,Baggage 20 Kg,BAG20,4,20,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_25,Baggage 25 Kg,BAG25,5,25,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_26,Baggage 30 Kg,BAG30,6,30,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_27,Baggage 35 Kg,BAG35,7,35,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_28,Baggage 40 Kg,BAG40,8,40,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_29,Baggage 45 Kg,BAG45,9,45,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_30,Baggage 50 Kg,BAG50,10,50,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_31,Baggage 55 Kg,BAG55,11,55,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_32,Baggage 60 Kg,BAG60,12,60,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_33,Baggage 65 Kg,BAG65,13,65,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_34,Baggage 70 Kg,BAG70,14,70,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_35,Baggage 75 Kg,BAG75,15,75,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_36,Baggage 80 Kg,BAG80,16,80,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_37,Baggage 85 Kg,BAG85,17,85,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_38,Baggage 90 Kg,BAG90,18,90,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_39,Baggage 95 Kg,BAG95,19,95,tt_reservation_airline.tt_ssr_list_id_1196,1
tt_ssr_list_line_id_40,Baggage 100 Kg,BAG100,20,100,tt_reservation_airline.tt_ssr_list_id_1196,1
