id,state_id/id,name,type_id/id,country_id/id
res_country_city_id_1,base.state_id_ac,Aceh Barat,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_10,base.state_id_ac,Aceh Timur,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_100,base.state_id_bb,Belitung Timur,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_101,base.state_id_bb,Pangkal Pinang,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_102,base.state_id_ja,Kerinci,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_103,base.state_id_ja,Merangin,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_104,base.state_id_ja,Sarolangun,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_105,base.state_id_ja,Batanghari,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_106,base.state_id_ja,Muaro Jambi,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_107,base.state_id_ja,Tanjung Jabung Timur,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_108,base.state_id_ja,Tanjung Jabung Barat,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_109,base.state_id_ja,Tebo,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_11,base.state_id_ac,Aceh Utara,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_110,base.state_id_ja,Bungo,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_111,base.state_id_ja,Jambi,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_112,base.state_id_ja,Sungai Penuh,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_113,base.state_id_be,Bengkulu Selatan,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_114,base.state_id_be,Bengkulu Tengah,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_115,base.state_id_be,Bengkulu Utara,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_116,base.state_id_be,Kaur,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_117,base.state_id_be,Kepahiang,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_118,base.state_id_be,Lebong,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_119,base.state_id_be,Mukomuko,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_12,base.state_id_ac,Bener Meriah,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_120,base.state_id_be,Rejang Lebong,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_121,base.state_id_be,Seluma,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_122,base.state_id_be,Bengkulu,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_123,base.state_id_ss,Banyuasin,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_124,base.state_id_ss,Empat Lawang,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_125,base.state_id_ss,Lahat,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_126,base.state_id_ss,Muara Enim,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_127,base.state_id_ss,Musi Banyuasin,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_128,base.state_id_ss,Musi Rawas,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_129,base.state_id_ss,Ogan Ilir,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_13,base.state_id_ac,Bireuen,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_130,base.state_id_ss,Ogan Komering Ilir,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_131,base.state_id_ss,Ogan Komering Ulu,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_132,base.state_id_ss,Ogan Komering Ulu Se,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_133,base.state_id_ss,Ogan Komering Ulu Ti,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_134,base.state_id_ss,Lubuklinggau,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_135,base.state_id_ss,Pagar Alam,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_136,base.state_id_ss,Palembang,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_137,base.state_id_ss,Prabumulih,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_138,base.state_id_la,Lampung Barat,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_139,base.state_id_la,Lampung Selatan,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_14,base.state_id_ac,Gayo Luwes,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_140,base.state_id_la,Lampung Tengah,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_141,base.state_id_la,Lampung Timur,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_142,base.state_id_la,Lampung Utara,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_143,base.state_id_la,Mesuji,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_144,base.state_id_la,Pesawaran,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_145,base.state_id_la,Pringsewu,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_146,base.state_id_la,Tanggamus,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_147,base.state_id_la,Tulang Bawang,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_148,base.state_id_la,Tulang Bawang Barat,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_149,base.state_id_la,Way Kanan,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_15,base.state_id_ac,Nagan Raya,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_150,base.state_id_la,Bandar Lampung,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_151,base.state_id_la,Metro,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_152,base.state_id_bt,Lebak,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_153,base.state_id_bt,Pandeglang,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_154,base.state_id_bt,Serang,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_155,base.state_id_bt,Tangerang,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_156,base.state_id_bt,Cilegon,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_157,base.state_id_bt,Serang,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_158,base.state_id_bt,Tangerang,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_159,base.state_id_bt,Tangerang Selatan,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_16,base.state_id_ac,Pidie,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_160,base.state_id_jk,Adm. Kepulauan Serib,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_161,base.state_id_jk,Jakarta Barat,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_162,base.state_id_jk,Jakarta Pusat,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_163,base.state_id_jk,Jakarta Selatan,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_164,base.state_id_jk,Jakarta Timur,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_165,base.state_id_jk,Jakarta Utara,tt_reservation_hotel.city_type_city,base.id
res_country_city_id_166,base.state_id_jb,Bandung,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_167,base.state_id_jb,Bandung Barat,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_168,base.state_id_jb,Bekasi,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_169,base.state_id_jb,Bogor,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_17,base.state_id_ac,Pidie Jaya,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_170,base.state_id_jb,Ciamis,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_171,base.state_id_jb,Cianjur,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_172,base.state_id_jb,Cirebon,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_173,base.state_id_jb,Garut,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_174,base.state_id_jb,Indramayu,tt_reservation_hotel.city_type_kab,base.id
res_country_city_id_175,base.state_id_jb,Karawang,tt_reservation_hotel.city_type_kab,base.id
