id,city_id/id,name
res_country_district_id_2882,res_country_city_id_160, Kepulauan Seribu Selatan
res_country_district_id_2872,res_country_city_id_160, Kepulauan Seribu Utara
res_country_district_id_3377,res_country_city_id_162, Tanah Abang
res_country_district_id_5623,res_country_city_id_162, Menteng
res_country_district_id_5374,res_country_city_id_162, Senen
res_country_district_id_6105,res_country_city_id_162, Johar Baru
res_country_district_id_6366,res_country_city_id_162, Cempaka Putih
res_country_district_id_6399,res_country_city_id_162, Kemayoran
res_country_district_id_5602,res_country_city_id_162, Sawah Besar
res_country_district_id_6248,res_country_city_id_162, Gambir
res_country_district_id_5208,res_country_city_id_165, Penjaringan
res_country_district_id_6532,res_country_city_id_165, Pademangan
res_country_district_id_6501,res_country_city_id_165, Tanjung Priok
res_country_district_id_3733,res_country_city_id_165, Koja
res_country_district_id_3752,res_country_city_id_165, Kelapa Gading
res_country_district_id_3749,res_country_city_id_165, Cilincing
res_country_district_id_3735,res_country_city_id_161, Kembangan
res_country_district_id_3743,res_country_city_id_161, Kebon Jeruk
res_country_district_id_3744,res_country_city_id_161, Palmerah
res_country_district_id_3740,res_country_city_id_161, Grogol Petamburan
res_country_district_id_3736,res_country_city_id_161, Tambora
res_country_district_id_3739,res_country_city_id_161, Taman Sari
res_country_district_id_2552,res_country_city_id_161, Cengkareng
res_country_district_id_3851,res_country_city_id_161, Kali Deres
res_country_district_id_924,res_country_city_id_163, Jagakarsa
res_country_district_id_836,res_country_city_id_163, Pasar Minggu
res_country_district_id_1333,res_country_city_id_163, Cilandak
res_country_district_id_5888,res_country_city_id_163, Pesanggrahan
res_country_district_id_5877,res_country_city_id_163, Kebayoran Lama
res_country_district_id_5889,res_country_city_id_163, Kebayoran Baru
res_country_district_id_5878,res_country_city_id_163, Mampang Prapatan
res_country_district_id_2595,res_country_city_id_163, Pancoran
res_country_district_id_2521,res_country_city_id_163, Tebet
res_country_district_id_2723,res_country_city_id_163, Setia Budi
res_country_district_id_2522,res_country_city_id_164, Pasar Rebo
res_country_district_id_2722,res_country_city_id_164, Ciracas
res_country_district_id_2518,res_country_city_id_164, Cipayung
res_country_district_id_4609,res_country_city_id_164, Makasar
res_country_district_id_5997,res_country_city_id_164, Kramat Jati
res_country_district_id_6003,res_country_city_id_164, Jatinegara
res_country_district_id_2750,res_country_city_id_164, Duren Sawit
res_country_district_id_6369,res_country_city_id_164, Cakung
res_country_district_id_6187,res_country_city_id_164, Pulo Gadung
res_country_district_id_6149,res_country_city_id_164, Matraman
res_country_district_id_6397,res_country_city_id_169, Nanggung
res_country_district_id_132,res_country_city_id_169, Leuwiliang
res_country_district_id_6488,res_country_city_id_169, Pamijahan
res_country_district_id_6533,res_country_city_id_169, Cibungbulang
res_country_district_id_6536,res_country_city_id_169, Ciampea
res_country_district_id_6487,res_country_city_id_169, Dramaga
res_country_district_id_6535,res_country_city_id_169, Ciomas
res_country_district_id_6534,res_country_city_id_169, Cijeruk
res_country_district_id_5661,res_country_city_id_169, Caringin
res_country_district_id_6512,res_country_city_id_169, Ciawi
res_country_district_id_5931,res_country_city_id_169, Cisarua
res_country_district_id_6066,res_country_city_id_169, Megamendung
res_country_district_id_2529,res_country_city_id_169, Sukaraja
res_country_district_id_4017,res_country_city_id_169, Babakan Madang
res_country_district_id_3582,res_country_city_id_169, Sukamakmur
res_country_district_id_5404,res_country_city_id_169, Cariu
res_country_district_id_3627,res_country_city_id_169, Jonggol
res_country_district_id_6299,res_country_city_id_169, Cileungsi
res_country_district_id_3561,res_country_city_id_169, Gunungputri
res_country_district_id_3242,res_country_city_id_169, Citeureup
res_country_district_id_3243,res_country_city_id_169, Cibinong
res_country_district_id_3220,res_country_city_id_169, Bojong Gede
res_country_district_id_2537,res_country_city_id_169, Kemang
res_country_district_id_3630,res_country_city_id_169, Parung
res_country_district_id_3801,res_country_city_id_169, Gunung Sindur
res_country_district_id_3581,res_country_city_id_169, Rumpin
res_country_district_id_3615,res_country_city_id_169, Cigudeg
res_country_district_id_3673,res_country_city_id_169, Jasinga
res_country_district_id_2698,res_country_city_id_169, Tenjo
res_country_district_id_3618,res_country_city_id_169, Parungpanjang
res_country_district_id_3432,res_country_city_id_169, Tamansari
res_country_district_id_3336,res_country_city_id_169, Ciseeng
res_country_district_id_3988,res_country_city_id_169, Kelapa Nunggal
res_country_district_id_4554,res_country_city_id_169, Sukajaya
res_country_district_id_6044,res_country_city_id_169, Ranca Bungur
res_country_district_id_6489,res_country_city_id_169, Tanjung Sari
res_country_district_id_6538,res_country_city_id_169, Tajurhalang
res_country_district_id_6537,res_country_city_id_169, Cigombong
res_country_district_id_6539,res_country_city_id_169, Leuwisadeng
res_country_district_id_4924,res_country_city_id_169, Tenjolaya
res_country_district_id_858,res_country_city_id_180, Ciemas
res_country_district_id_2643,res_country_city_id_180, Ciracap
res_country_district_id_1957,res_country_city_id_180, Surade
res_country_district_id_2851,res_country_city_id_180, Jampang Kulon
res_country_district_id_6186,res_country_city_id_180, Kalibunder
res_country_district_id_2294,res_country_city_id_180, Tegalbuleud
res_country_district_id_6029,res_country_city_id_180, Cidolog
res_country_district_id_4218,res_country_city_id_180, Sagaranten
res_country_district_id_3511,res_country_city_id_180, Pabuaran
res_country_district_id_5674,res_country_city_id_180, Lengkong
res_country_district_id_5683,res_country_city_id_180, Pelabuhan Ratu
res_country_district_id_2745,res_country_city_id_180, Warung Kiara
res_country_district_id_2747,res_country_city_id_180, Jampang Tengah
res_country_district_id_6252,res_country_city_id_180, Cikembar
res_country_district_id_920,res_country_city_id_180, Nyalindung
res_country_district_id_5018,res_country_city_id_180, Gegerbitung
res_country_district_id_5177,res_country_city_id_180, Sukaraja
res_country_district_id_5897,res_country_city_id_180, Sukabumi
res_country_district_id_5902,res_country_city_id_180, Kadudampit
res_country_district_id_5903,res_country_city_id_180, Cisaat
res_country_district_id_5856,res_country_city_id_180, Cibadak
res_country_district_id_5860,res_country_city_id_180, Nagrak
res_country_district_id_5857,res_country_city_id_180, Cicurug
res_country_district_id_5862,res_country_city_id_180, Cidahu
res_country_district_id_5858,res_country_city_id_180, Parakansalak
res_country_district_id_5861,res_country_city_id_180, Parungkuda
res_country_district_id_4183,res_country_city_id_180, Kalapa Nunggal
res_country_district_id_5771,res_country_city_id_180, Cikidang
res_country_district_id_5761,res_country_city_id_180, Cisolok
res_country_district_id_5387,res_country_city_id_180, Kabandungan
res_country_district_id_4923,res_country_city_id_180, Gunung Guruh
res_country_district_id_5784,res_country_city_id_180, Cikakak
res_country_district_id_5785,res_country_city_id_180, Bantar Gadung
res_country_district_id_2647,res_country_city_id_180, Cicantayan
res_country_district_id_5778,res_country_city_id_180, Simpenan
res_country_district_id_5779,res_country_city_id_180, Kebon Pedes
res_country_district_id_5781,res_country_city_id_180, Cidadap
res_country_district_id_5782,res_country_city_id_180, Cibitung
res_country_district_id_5752,res_country_city_id_180, Curugkembar
res_country_district_id_5764,res_country_city_id_180, Purabaya
res_country_district_id_5762,res_country_city_id_180, Cireunghas
res_country_district_id_5763,res_country_city_id_180, Sukalarang
res_country_district_id_916,res_country_city_id_180, Caringin
res_country_district_id_5446,res_country_city_id_180, Bojong Genteng
res_country_district_id_3934,res_country_city_id_180, Waluran
